State,Year,production,consumption,price,population
Alaska,1970,8835.0,182039,1.39,304
Alabama,1970,132471.0,1393497,1.37,3451
Arkansas,1970,56933.0,708904,1.51,1932
Arizona,1970,68919.0,520401,1.97,1792
California,1970,521978.0,5499139,1.74,20007
Colorado,1970,21329.0,677623,1.52,2223
Connecticut,1970,19293.0,693930,2.14,3041
District of Columbia,1970,113.0,205891,1.72,756
Delaware,1970,7021.0,219722,1.71,551
Florida,1970,51035.0,1577450,2.33,6848
Georgia,1970,98222.0,1280820,1.85,4607
Hawaii,1970,1559.0,196947,1.72,774
Iowa,1970,16080.0,850609,1.8,2832
Idaho,1970,85735.0,296399,1.76,718
Illinois,1970,41064.0,3696737,1.7,11128
Indiana,1970,28494.0,2219775,1.45,5202
Kansas,1970,3730.0,874267,1.56,2249
Kentucky,1970,57023.0,1104720,1.68,3231
Louisiana,1970,41620.0,2836864,0.95,3652
Massachusetts,1970,65043.0,1464384,1.89,5706
Maryland,1970,51782.0,1067972,1.79,3938
Maine,1970,59420.0,302380,1.93,997
Michigan,1970,54309.0,2702538,1.71,8890
Minnesota,1970,32822.0,1107892,1.87,3815
Missouri,1970,33344.0,1309269,1.85,4688
Mississippi,1970,33527.0,746912,1.71,2220
Montana,1970,98397.0,322784,1.56,698
North Carolina,1970,111796.0,1342676,2.01,5098
North Dakota,1970,29922.0,191117,1.98,620
Nebraska,1970,15950.0,487481,1.72,1488
New Hampshire,1970,25321.0,186601,2.18,742
New Jersey,1970,25906.0,1977939,1.99,7193
New Mexico,1970,5548.0,458694,1.46,1023
Nevada,1970,18322.0,190122,1.95,493
New York,1970,325491.0,4303439,1.81,18268
Ohio,1970,44149.0,3932645,1.5,10664
Oklahoma,1970,21730.0,939226,1.85,2567
Oregon,1970,371350.0,752924,1.85,2101
Pennsylvania,1970,67525.0,4106916,1.47,11813
Rhode Island,1970,5268.0,222536,1.92,951
South Carolina,1970,65064.0,745729,1.82,2597
South Dakota,1970,70185.0,168792,2.12,668
Tennessee,1970,138417.0,1365610,1.73,3937
Texas,1970,62757.0,6921781,1.28,11236
Utah,1970,10079.0,397019,1.31,1066
Virginia,1970,62711.0,1279028,1.8,4659
Vermont,1970,14717.0,113222,2.37,446
Washington,1970,796121.0,1294145,1.58,3413
Wisconsin,1970,58313.0,1289050,1.76,4429
West Virginia,1970,21152.0,795739,1.15,1751
Wyoming,1970,12129.0,255480,1.32,334
Alaska,1971,9094.0,200962,1.46,316
Alabama,1971,158182.0,1384940,1.51,3497
Arkansas,1971,53579.0,700736,1.65,1972
Arizona,1971,74136.0,554212,2.06,1896
California,1971,533790.0,5747656,1.81,20346
Colorado,1971,25526.0,691909,1.67,2304
Connecticut,1971,20206.0,682588,2.38,3061
District of Columbia,1971,116.0,199397,1.97,750
Delaware,1971,7673.0,222353,1.88,565
Florida,1971,49968.0,1674133,2.41,7158
Georgia,1971,109007.0,1348865,1.98,4712
Hawaii,1971,1283.0,211673,1.8,802
Iowa,1971,16122.0,862483,1.91,2852
Idaho,1971,89445.0,311605,1.79,739
Illinois,1971,40628.0,3722756,1.79,11202
Indiana,1971,27156.0,2236217,1.52,5253
Kansas,1971,3941.0,908254,1.57,2247
Kentucky,1971,61912.0,1117666,1.78,3298
Louisiana,1971,41912.0,2897554,1,3710
Massachusetts,1971,61247.0,1493798,2.09,5738
Maryland,1971,49264.0,1104522,1.94,4018
Maine,1971,55423.0,353571,1.79,1015
Michigan,1971,53960.0,2798196,1.78,8974
Minnesota,1971,33768.0,1148516,1.92,3853
Missouri,1971,30407.0,1326842,1.97,4726
Mississippi,1971,32841.0,786107,1.8,2265
Montana,1971,107251.0,333934,1.59,711
North Carolina,1971,128148.0,1403918,2.15,5204
North Dakota,1971,34285.0,195302,2.08,627
Nebraska,1971,15845.0,496173,1.8,1505
New Hampshire,1971,24733.0,201058,2.26,762
New Jersey,1971,26621.0,1970817,2.21,7281
New Mexico,1971,4965.0,469511,1.53,1054
Nevada,1971,18651.0,201661,1.96,520
New York,1971,326609.0,4251263,2.03,18358
Ohio,1971,43520.0,3871518,1.65,10735
Oklahoma,1971,21321.0,965680,1.89,2619
Oregon,1971,419311.0,796879,1.92,2151
Pennsylvania,1971,60573.0,4044955,1.66,11886
Rhode Island,1971,4851.0,235513,2.01,963
South Carolina,1971,78568.0,779638,1.96,2662
South Dakota,1971,82558.0,170183,2.16,671
Tennessee,1971,153090.0,1371116,1.9,4014
Texas,1971,60471.0,7233774,1.33,11510
Utah,1971,12615.0,415199,1.39,1101
Virginia,1971,66364.0,1322363,1.88,4751
Vermont,1971,14594.0,116968,2.52,454
Washington,1971,817275.0,1320979,1.64,3448
Wisconsin,1971,61793.0,1293197,1.86,4462
West Virginia,1971,22281.0,779534,1.31,1771
Wyoming,1971,15331.0,268453,1.5,340
Alaska,1972,8673.0,214377,1.55,324
Alabama,1972,164946.0,1478039,1.61,3539
Arkansas,1972,53917.0,744634,1.69,2019
Arizona,1972,75189.0,616452,2.14,2008
California,1972,472312.0,5872011,1.91,20585
Colorado,1972,22935.0,756325,1.67,2405
