,year,produced_renewable,total_consumed,population,energy_price,difference
0,1970,4070021,67720114,205052,1.6,-63650093
1,1971,4262212,69163993,207661,1.8,-64901781
2,1972,4382009,72677208,209896,1.8,-68295199
3,1973,4410938,75723857,211909,2,-71312919
4,1974,4741851,73914525,213854,2.9,-69172674
5,1975,4687119,71953031,215973,3.3,-67265912
6,1976,4727151,75966653,218035,3.6,-71239502
7,1977,4208966,77946963,220239,4,-73737997
8,1978,5005439,79978066,222585,4.2,-74972627
9,1979,5122854,80835915,225055,5.2,-75713061
10,1980,5424534,78047519,227225,6.9,-72622985
11,1981,5417152,76093624,229466,8,-70676472
12,1982,5980930,73006067,231664,8.5,-67025137
13,1983,6495613,72879382,233792,8.4,-66383769
14,1984,6438346,76510942,235825,8.3,-70072596
15,1985,6084015,76406632,237924,8.4,-70322617
16,1986,6111141,76592009,240133,7.3,-70480868
17,1987,5624499,78960216,242289,7.4,-73335717
18,1988,5456756,82711222,244499,7.3,-77254466
19,1989,6234679,84731917,246819,7.6,-78497238
20,1990,6041914,84455309,249623,8.3,-78413395
21,1991,6067807,84379032,252981,8.2,-78311225
22,1992,5820575,85731678,256514,8.2,-79911103
23,1993,6079666,87294901,259919,8.3,-81215235
24,1994,5987182,89010871,263126,8.3,-83023689
25,1995,6557340,90994804,266278,8.3,-84437464
26,1996,7010925,94005127,269394,8.8,-86994202
27,1997,7014369,94656503,272647,8.8,-87642134
28,1998,6492811,94933482,275854,8.2,-88440671
29,1999,6516608,96525849,279040,8.6,-90009241
30,2000,6101765,98694756,282162,10.3,-92592991
31,2001,5166212,96039305,284969,10.8,-90873093
32,2002,5730989,97542524,287625,10.1,-91811535
33,2003,5942573,97834963,290108,11.4,-91892390
34,2004,6062797,100013933,292805,12.9,-93951136
35,2005,6219457,100109605,295517,15.6,-93890148
36,2006,6586516,99388264,298380,17.4,-92801748
37,2007,6510750,100916415,301231,18.3,-94405665
38,2008,7192158,98765251,304094,21.5,-91573093
39,2009,7625727,93970180,306772,17.3,-86344453
40,2010,8315006,97513781,309327,18.9,-89198775
41,2011,9301571,96868658,311583,21.9,-87567087
42,2012,8889306,94366760,313878,21.8,-85477454
43,2013,9422721,97106124,316060,21.4,-87683403
44,2014,9775755,98279417,318386,21.3,-88503662
45,2015,9743161,97378350,320739,17.3,-87635189
46,2016,10445341,97351106,323072,15.9,-86905765
47,2017,11225892,97628486,325122,17.3,-86402594
48,2018,11540403,101193066,326838,18.6,-89652663
49,2019,11563117,100357531,328330,18,-88794414
50,2020,11613541,92862342,331501,16.2,-81248801
51,2021,9803617.9,104821125.5,336085.9,20.9,-95017507.7
52,2022,9921656.5,105473329.4,338731.2,21.3,-95551672.9
53,2023,10039695.1,106125533.3,341376.5,21.6,-96085838.2
54,2024,10157733.7,106777737.2,344021.8,22,-96620003.4
55,2025,10275772.4,107429941.1,346667.1,22.4,-97154168.7
56,2026,10393811,108082144.9,349312.4,22.8,-97688334
57,2027,10511849.6,108734348.8,351957.8,23.2,-98222499.2
58,2028,10629888.2,109386552.7,354603.1,23.6,-98756664.5
59,2029,10747926.9,110038756.6,357248.4,24,-99290829.7
60,2030,10865965.5,110690960.5,359893.7,24.3,-99824995
61,2031,10984004.1,111343164.4,362539,24.7,-100359160.3
62,2032,11102042.7,111995368.3,365184.3,25.1,-100893325.5
63,2033,11220081.4,112647572.1,367829.6,25.5,-101427490.8
64,2034,11338120,113299776,370474.9,25.9,-101961656
65,2035,11456158.6,113951979.9,373120.2,26.3,-102495821.3
