year,production,consumption,population, price
1970,4070021.0,67720114.0,205052.0,1.65
1971,4262212.0,69163993.0,207661.0,1.76
1972,4382009.0,72677208.0,209896.0,1.84
1973,4410938.0,75723857.0,211909.0,2.02
1974,4741851.0,73914525.0,213854.0,2.87
1975,4687119.0,71953031.0,215973.0,3.33
1976,4727151.0,75966653.0,218035.0,3.57
1977,4208966.0,77946963.0,220239.0,3.98
1978,5005439.0,79978066.0,222585.0,4.23
1979,5122854.0,80835915.0,225055.0,5.22
1980,5424534.0,78047519.0,227225.0,6.89
1981,5417152.0,76093624.0,229466.0,8.04
1982,5980930.0,73006067.0,231664.0,8.47
1983,6495613.0,72879382.0,233792.0,8.4
1984,6438346.0,76510942.0,235825.0,8.3
1985,6084015.0,76406632.0,237924.0,8.38
1986,6111141.0,76592009.0,240133.0,7.32
1987,5624499.0,78960216.0,242289.0,7.36
1988,5456756.0,82711222.0,244499.0,7.29
1989,6234679.0,84731917.0,246819.0,7.59
1990,6041914.0,84455309.0,249623.0,8.29
1991,6067807.0,84379032.0,252981.0,8.25
1992,5820575.0,85731678.0,256514.0,8.16
1993,6079666.0,87294901.0,259919.0,8.29
1994,5987182.0,89010871.0,263126.0,8.33
1995,6557340.0,90994804.0,266278.0,8.31
1996,7010925.0,94005127.0,269394.0,8.77
1997,7014369.0,94656503.0,272647.0,8.83
1998,6492811.0,94933482.0,275854.0,8.22
1999,6516608.0,96525849.0,279040.0,8.58
2000,6101765.0,98694756.0,282162.0,10.33
2001,5166212.0,96039305.0,284969.0,10.78
2002,5730989.0,97542524.0,287625.0,10.1
2003,5942573.0,97834963.0,290108.0,11.44
2004,6062797.0,100013933.0,292805.0,12.9
2005,6219457.0,100109605.0,295517.0,15.57
2006,6586516.0,99388264.0,298380.0,17.4
2007,6510750.0,100916415.0,301231.0,18.34
2008,7192158.0,98765251.0,304094.0,21.53
2009,7625727.0,93970180.0,306772.0,17.26
2010,8315006.0,97513781.0,309327.0,18.92
2011,9301571.0,96868658.0,311583.0,21.87
2012,8889306.0,94366760.0,313878.0,21.84
2013,9422721.0,97106124.0,316060.0,21.42
2014,9775755.0,98279417.0,318386.0,21.33
2015,9743161.0,97378350.0,320739.0,17.31
2016,10445341.0,97351106.0,323072.0,15.95
2017,11225892.0,97628486.0,325122.0,17.32
2018,11540403.0,101193066.0,326838.0,18.61
2019,11563117.0,100357531.0,328330.0,17.96
2020,11613541.0,92862342.0,331501.0,16.25
